"green","yellow"
1.07268017137016,5.0027294385598
2.2253763543745,1.09548910585334
0.340758366716152,1.67752534823469
1.22053809894213,4.05582109020764
0.492918360752978,3.84224134421537
1.4512540677701,4.17928935243036
0.224965724439441,1.46258815828164
-0.764554000892593,3.08659781768304
1.72928615619437,3.03986198164866
0.862488004100443,3.57011758236547
3.75106072924417,4.54365400947247
0.258848631648022,3.26777854546079
3.11990736290732,4.52687432031405
0.565975287695008,3.20575699849201
2.56127233120061,4.04077794731387
1.20756169191111,3.72320070286397
0.969321042005239,3.71001250598469
1.21540221842845,2.66190630811734
2.71093068942737,5.46063276357395
0.167638217069795,5.57242779910868
1.10478535588659,3.01546733910487
1.92566458189034,2.50882376657129
-0.385841538639758,1.74213828234233
1.25960528687264,2.83507997691259
2.23874331100472,4.05263912200376
1.77635675528141,1.93493347335266
1.55609003747306,3.50822999929095
2.35974516561714,3.07957839006764
2.3864047464222,4.70136556451082
0.179885454243464,3.5027620976898
0.986496645019831,2.52371141372157
0.814829485856606,3.18378436213159
1.68541429327563,3.52369132146922
1.44042705848256,4.85213905108491
0.294297266047454,3.73616500903859
2.01271299799771,2.88512387621514
2.76753949562244,4.60492139232616
1.81797595920397,3.83180600025227
2.53886508391183,4.50431472623386
1.06872832199888,4.19578266639708
0.244016932881411,3.40869176730459
1.30864847536729,5.26367332493918
0.377146827474702,3.48673257374072
1.50677658761015,4.75906350235215
1.09318900056198,2.41004596201707
-0.452811966651341,0.978758076501645
0.0882705515478734,3.39821444726146
-0.55634955364815,3.1585975606968
1.15990069681259,4.12921014133798
2.4918246960391,4.67852696178359
-0.169763830119236,2.2828596304725
0.527077777858333,3.39811590868906
0.777248116179278,2.80578334063286
1.20605829175137,2.27613270448552
-0.168850990916742,3.34838701731369
2.4847668470613,4.27166084172991
2.01005806355056,1.81277188602323
-0.702615534982068,2.89651360131975
0.242445951102125,2.99092758446247
0.937733477819208,3.56352632370176
1.54985988074042,4.08926350841251
1.97150016996411,3.48579400426762
2.07965287178439,2.74011621190459
2.47032090863797,4.586372273386
0.774713230169386,2.50900906230234
0.843615217946259,2.90593749820515
1.02146364845023,3.68658964336367
2.15165809411597,3.40494676284123
2.11937760031741,2.90431525490092
0.384478951102516,2.88635258045255
1.47038253667979,4.49554739791142
1.83084256136752,1.7559848140132
0.910619723714525,5.25607835394589
1.24094553378195,3.4116228945218
1.52426767474813,1.99942365323723
0.995200073392984,2.03352720508389
0.43290719396558,1.97224274912323
-0.815266213331359,4.65571237713106
0.663175963706232,4.17364341816724
2.02748062078726,3.77165877616805
1.14358837021484,2.14493671677679
1.95530034541429,4.42430971827563
0.564789003035695,2.04923766299866
1.14742980749896,2.9507015937749
1.8483408411437,4.61798723618512
1.77247449146067,5.6374681066533
1.8906736375612,3.61081437216536
0.467414081246913,2.88805226889911
2.1535721468525,2.10926275658909
0.877890338994049,3.656486149472
1.69257690864128,3.12731577674968
1.47198921554921,4.68744279355666
1.31138401261053,2.65778970990367
0.790987331520443,2.5567105803947
1.69051811351472,3.4060718780338
2.33068375803285,3.27728841954866
1.75726845149217,4.06042893700192
2.73471567702353,2.49030793090018
1.16129466459522,2.8046931999107
1.15000927491836,2.39682186157003
