blue,black
-0.297695329,1.472830896
0.974554786,1.424474278
1.059371997,0.485828156
-0.221472435,0.982080195
1.083546506,-0.187360304
0.003324836,0.689603857
-0.909797387,-0.305776814
1.567440487,-0.372708425
0.063529116,-0.616855759
0.478693936,1.906401636
-1.44136783,1.241370899
-0.564697618,-0.20707962
-0.3637796,0.69064081
-0.811272242,-0.768568311
0.572734713,0.744376598
-0.21744923,0.876308329
0.546555418,0.431761083
0.074505655,1.364244049
NA,NA
1.409653588,1.637220653
0.126703817,1.576359313
-0.340197809,1.145765558
0.000207003,0.142611001
0.23451471,-0.079155594
2.234315072,0.898753886
-1.034254432,-0.560830413
2.06952403,1.143152268
-0.663733948,3.151880903
0.024734672,1.616187853
-0.05449433,-0.25850217
0.031273502,1.731383503
-0.385151307,-0.594763702
-2.2448196,0.914155331
0.052623893,1.888912117
-1.640883366,0.796254127
-1.403320404,1.65530647
-0.980804228,0.783110303
0.828520724,-0.648016295
2.289526056,-0.130927349
-0.569327956,1.045643549
-1.78509969,2.289172317
-0.320070259,1.356913055
0.092394733,1.189363907
0.545524967,1.800420727
-0.089948852,-1.495296051
0.770495565,1.301900793
-0.470930542,0.89277157
1.346978918,-0.580875119
-0.111563589,-0.213461587
-0.542339962,0.803175918
1.36361054,0.988081082
-0.593916282,0.505151212
-0.660520908,1.061411812
0.697013372,1.401496282
-0.23982589,2.290383139
-0.699046013,0.258742425
0.133441001,0.49478705
0.498633265,1.035435115
0.535790104,0.999267142
-0.953424869,1.962726958
0.805555525,-0.027730252
0.214546265,2.084517129
0.154875428,1.982290618
-0.213351985,0.414598979
0.425935995,-0.118782037
0.254446084,-0.397557771
-0.6069792,-0.5008606
0.473491175,-1.48820846
-0.545760524,2.130429331
-0.477188801,0.506329695
-1.882022729,2.765022626
NA,NA
-0.710221165,1.423653235
2.093323843,0.633466988
-0.628557545,0.780075856
-0.190976384,0.106248935
-0.881392196,1.040470995
-1.608469327,2.614195031
-0.673916864,-1.574648627
-1.222819001,1.314935685
0.886374477,0.306953199
-1.317006118,2.31684063
-0.351920638,0.759366803
0.870577843,2.761147056
0.069931462,1.248839835
-1.33859225,2.034958329
0.171208796,0.709991319
0.891455259,0.091047965
-1.117004201,0.040141472
1.18824683,0.3828279
0.010433229,2.793024614
-1.119265264,1.014969693
-0.342166511,1.512385339
-0.34523492,0.543753325
-0.33941142,-0.332684062
0.154481014,1.074293029
-1.765657395,0.889206483
0.107658371,1.18161851
-1.897828067,0.505202951
1.963510723,-0.976633087
-1.413269402,2.065764942
-0.121576567,1.531689263
